year,canton,mppa_a,mppa_b,mppa_c,mppa_d,mppa_e,hm_a,hm_b,hm_c,hm_d,hm_e,tot_a,tot_b,tot_c,tot_d,tot_e
2018,NW,,,,,,,287.25240142,158.03216586,445.28456728,5.359047619,,287.25240142,158.03216586,445.28456728,5.359047619
2018,GL,,,,,,,258.54327006,218.11323676,476.65650683,1.1904761905,,258.54327006,218.11323676,476.65650683,1.1904761905
2018,ZG,,,,,,1,659.88603836,417.54091217,1078.4269505,8.429047619,1,659.88603836,417.54091217,1078.4269505,8.429047619
2018,FR,,,,,,3.2982073374,2385.274185,860.56310975,3249.1355021,6.3980952381,3.2982073374,2385.274185,860.56310975,3249.1355021,6.3980952381
2018,SO,,,,,,,1964.8020564,1001.3002587,2966.102315,15.854761905,,1964.8020564,1001.3002587,2966.102315,15.854761905
2018,BS,,,,,,,2247.4297122,852.37474832,3099.8044605,7.0452380952,,2247.4297122,852.37474832,3099.8044605,7.0452380952
2018,BL,,,,,,,2075.4832132,1039.2676053,3114.7508185,24.503333333,,2075.4832132,1039.2676053,3114.7508185,24.503333333
2018,SH,,,,,,.2024096386,793.52463414,410.84542392,1204.5724677,5.430952381,.2024096386,793.52463414,410.84542392,1204.5724677,5.430952381
2018,AR,,,,,,,554.57544552,316.78566871,871.36111422,2.9795238095,,554.57544552,316.78566871,871.36111422,2.9795238095
2018,AI,,8.214083175800001,.4829867675,8.697069943300001,,,114.60695755,51.658323506,166.26528105,1.61,,122.82104072,52.141310274,174.962351,1.61
2018,SG,,11.480542986,7.7315449257,19.212087912,.1619047619,,3476.9718192,1880.2490145,5357.2208337,38.911428571,,3488.4523622,1887.9805594,5376.4329216,39.073333333
2018,GR,,,,,,1.4168269231,1665.0216933,795.13991099,2461.5784312,8.730952381,1.4168269231,1665.0216933,795.13991099,2461.5784312,8.730952381
2018,AG,,,,,,5.3462056281,4288.2332922,2069.4169348,6362.9964326,55.492380952,5.3462056281,4288.2332922,2069.4169348,6362.9964326,55.492380952
2018,TG,,,,,,,1855.4944663,929.29153686,2784.7860032,15.087619048,,1855.4944663,929.29153686,2784.7860032,15.087619048
2018,TI,,,,,,22.314903846,3399.4497253,1337.1226419,4758.8872711,21.029047619,22.314903846,3399.4497253,1337.1226419,4758.8872711,21.029047619
2018,VD,.000923361,36.78942782,47.140258574,83.93060975500001,.0228571429,17.32942181,5370.3799132,2555.0946782,7942.8040132,6.7895238095,17.330345171,5407.169341,2602.2349368,8026.734623,6.8123809524
